"['time', 'Speed [km/h]']","['time', 'Steer [deg]']","['time', 'Yaw [deg]']","['time', 'ax [m/s²]']","['time', 'ay [m/s²]']","['time', 'az [m/s²]']"
1.6600000000000001,42.56167030334473,81.75184557220327,10.56423566001215,-1.9404839277267456,4.253002166748047,-0.07370711863040924
1.67,42.19755249023438,86.5773673906281,11.64570732262446,-1.942469835281372,4.427989959716797,-0.08111122995615005
1.68,41.907918548583986,90.40825657154816,12.551135982021567,-1.9233890771865845,4.560785293579102,-0.08937296271324158
1.69,41.57955093383789,95.25185107051686,13.731792236666216,-1.5585377216339111,4.746230125427246,-0.0831865668296814
1.7,41.382439041137694,99.4415983904294,14.712720953375,-1.2260125875473022,4.904140472412109,-0.06936822831630707
1.71,41.16017189025879,105.93821478175707,16.24159561983253,-0.9519298076629639,5.105141639709473,-0.09151028096675873
1.72,41.02317237854004,111.297017280009,17.570002526602895,-0.7745081782341003,5.26904296875,-0.10759057849645615
1.73,40.9370979309082,115.45275025785487,18.66999083205511,-0.6789648532867432,5.392646789550781,-0.12022130191326141
1.74,40.84963302612305,120.41178178398596,20.093537151321875,-0.5943439602851868,5.543227195739746,-0.1367703080177307
1.75,40.79226379394532,124.19488696147262,21.272122151100717,-0.5458267331123352,5.664248466491699,-0.14801183342933655
1.76,40.72210922241211,129.56785527206316,23.106060386647698,-0.48819854855537415,5.8488264083862305,-0.16274353861808777
1.77,40.69325294494629,132.11718239863538,24.051959624424423,-0.4647482633590698,5.9429402351379395,-0.1665663719177246
1.78,40.64586753845215,136.8849276468711,25.99838083031776,-0.42727407813072205,6.1280364990234375,-0.16798058152198792
1.79,40.62660713195801,139.08474033323543,26.997188420952696,-0.4125593602657318,6.21589994430542,-0.16704979538917542
1.8,40.59532699584961,143.0646779022235,29.0412847470718,-0.3903316259384155,6.3721137046813965,-0.16662976145744324
1.81,40.575304412841795,145.96261788403322,30.78768898576319,-0.3756870627403259,6.481726169586182,-0.17074644565582275
1.82,40.56277656555176,148.03956912760736,32.210051974756254,-0.3648254871368408,6.557169437408447,-0.17731207609176636
1.83,40.54934577941895,150.83614910213407,34.38141350813291,-0.3488415777683258,6.655674457550049,-0.19060322642326355
1.84,40.54293251037598,152.84727098248766,36.22211875360008,-0.3341253697872162,6.726275444030762,-0.20149433612823486
1.85,40.54099617004395,154.22232466619462,37.71276655882034,-0.3210626244544983,6.775793075561523,-0.20783093571662903
1.86,40.54266815185547,155.64539457976676,39.595566260142306,-0.303243488073349,6.830230712890625,-0.21190142631530762
1.87,40.55089073181153,156.91493550117536,41.87833842416563,-0.27949708700180054,6.882303714752197,-0.2123720347881317
1.8800000000000001,40.557602691650395,157.37776277971378,43.027329921818094,-0.2668895125389099,6.902231693267822,-0.21168990433216095
1.8900000000000001,40.576300048828124,157.9929442578785,45.33650076698352,-0.23976939916610718,6.929416656494141,-0.21058784425258636
1.9000000000000001,40.597668457031254,158.23094902969675,47.268781773747634,-0.2129771113395691,6.940155982971191,-0.2111833244562149
1.9100000000000001,40.630977630615234,158.26214933382536,49.592739978466135,-0.17802736163139343,6.942585468292236,-0.2127416878938675
1.92,40.65765037536621,158.1775506107656,51.143305618180335,-0.15771041810512543,6.940277099609375,-0.21432800590991974
1.93,40.69500732421875,157.9889281066465,53.08140253102272,-0.13731203973293304,6.935906887054443,-0.21521015465259552
1.94,40.74416084289551,157.6581830262778,55.40551441499754,-0.12021074444055557,6.928924083709717,-0.2143869400024414
1.95,40.769930648803715,157.45273093604385,56.56652021540006,-0.11436720192432404,6.924948692321777,-0.21340928971767426
1.96,40.82285041809082,156.96778750497293,58.885779249969595,-0.10702784359455109,6.916165351867676,-0.21110185980796814
